BU,SBU1,SBU2,AMC,REGION,SUBREGION,BRANCH
KARNATAKA,BANGALORE,BANGALORE,BANGALORE,KARNATAKA,BLR,BANGALORE
ANDHRA PRADESH,HYDERABAD,HYDERABAD,HYDERABAD,AP,AP,HYDERABAD
ANDHRA PRADESH,VIJAYAWADA,VIJAYAWADA,VIJAYAWADA,AP,AP,VIJAYAWADA
ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,VISAKHAPATNAM,AP,AP,VISAKHAPATNAM
MADHYA PRADESH,MADHYA PRADESH,BHOPAL,BHOPAL,CENTRAL,MP,BHOPAL
MADHYA PRADESH,MADHYA PRADESH,GWALIOR,GWALIOR,CENTRAL,MP,GWALIOR
MADHYA PRADESH,MADHYA PRADESH,INDORE,INDORE,CENTRAL,MP,INDORE
MADHYA PRADESH,MADHYA PRADESH,JABALPUR,JABALPUR,CENTRAL,MP,JABALPUR
NORTH & EAST,CHATTISGARH,BHILAI,BHILAI,CENTRAL,CG,BHILAI
NORTH & EAST,CHATTISGARH,RAIPUR,RAIPUR,CENTRAL,CG,RAIPUR
REST OF MH,ROM,AKOLA,AKOLA,ROM1,RETAIL-ROM1,AKOLA
REST OF MH,ROM,AURANGABAD,AURANGABAD,ROM1,RETAIL-ROM1,AURANGABAD
REST OF MH,ROM,JALGAON,JALGAON,ROM1,RETAIL-ROM1,JALGAON
REST OF MH,ROM,KOLHAPUR,KOLHAPUR,ROM1,RETAIL-ROM1,KOLHAPUR
REST OF MH,ROM,NAGPUR,NAGPUR,ROM2-RETAIL-MUMBAI,ROM2,NAGPUR
REST OF MH,ROM,NASHIK,NASHIK,ROM2-RETAIL-MUMBAI,ROM2,NASHIK
REST OF MH,ROM,SANGLI,SANGLI,ROM1,RETAIL-ROM1,SANGLI
TAMILNADU,CHENNAI,CHENNAI,CHENNAI,CHENNAI,CHENNAI,CHENNAI
OVERSEAS,OVERSEAS,OVERSEAS,OVERSEAS,DUBAI,DUBAI,DUBAI
GUJARAT,GUJARAT,AHMEDABAD,AHMEDABAD,GUJARAT,GJ-MEGA,AHMEDABAD
GUJARAT,GUJARAT,ANAND,ANAND,GUJARAT,GJ-MINI,ANAND
GUJARAT,GUJARAT,BARODA,BARODA,GUJARAT,GJ-MEGA,BARODA
GUJARAT,GUJARAT,BHAVNAGAR,BHAVNAGAR,GUJARAT,GJ-MINI,BHAVNAGAR
GUJARAT,GUJARAT,JAMNAGAR,JAMNAGAR,GUJARAT,GJ-MINI,JAMNAGAR
GUJARAT,GUJARAT,RAJKOT,RAJKOT,GUJARAT,GJ-MINI,RAJKOT
GUJARAT,GUJARAT,SURAT,SURAT,GUJARAT,GJ-MEGA,SURAT
GUJARAT,GUJARAT,VAPI,VAPI,GUJARAT,GJ-MINI,VAPI
INSTITUTIONAL,AP-INST,HYDERABAD-INST,HYDERABAD,INST,AP-INST,AP-INST
INSTITUTIONAL,AP-INST,VIJAYAWADA-INST,VIJAYAWADA,INST,AP-INST,AP-INST
