RTA Fund Code,Fund Scheme code,Scheme Option Name,Direct or Regular,Option,SMF Fund code,SMF PRODUCT CLASS',SMF SUB PRODUCT CLASS,FUND NAME,SHORT FUND NAME,REMARKS,NFO open date,NFO close date,maturity date,Allotment date,ISIN,SEBI product class
ABNER,ABNER,ABNER,,,ABNER,SPM,SPM_ADV,ADVISORY - ABNER,Abner,,,,2100?1?1?,, ,SPM_ADV
1H,1HDP,SUNDARAM FIXED TERM PLAN AD 13MONTHS DIVIDEND,REGULAR,D,AD13,DEBT,DEBT_CE,SUNDARAM FTP  AD 13 MTHS,FTP  AD 13 MTHS,,2011/02/16,2011/03/01,2012/04/03,2011/03/04,INF903JO1BB3,Fixed Term Plan
1H,1HGP,SUNDARAM FIXED TERM PLAN AD 13MONTHS GROWTH,REGULAR,G,AD13,DEBT,DEBT_CE,SUNDARAM FTP  AD 13 MTHS,FTP  AD 13 MTHS,,2011/02/16,2011/03/01,2012/04/03,2011/03/04,INF903J01BA5,Fixed Term Plan
1K,1KDP,SUNDARAM FIXED TERM PLAN AE 13MONTHS DIVIDEND,REGULAR,D,AE13,DEBT,DEBT_CE,SUNDARAM FTP  AE 13 MTHS,FTP  AE 13 MTHS,,2011/02/16,2011/02/28,2012/04/09,2011/03/07,INF903J01AV3,Fixed Term Plan
1K,1KGP,SUNDARAM FIXED TERM PLAN AE 13MONTHS GROWTH,REGULAR,G,AE13,DEBT,DEBT_CE,SUNDARAM FTP  AE 13 MTHS,FTP  AE 13 MTHS,,2011/02/16,2011/02/28,2012/04/09,2011/03/07,INF903J01AU5,Fixed Term Plan
1J,1JDP,SUNDARAM FIXED TERM PLAN AF 14 MTHS DIVIDEND,REGULAR,D,AF14,DEBT,DEBT_CE,SUNDARAM FTP  AF 14 MTHS,FTP  AF 14 MTHS,,2011/02/01,2011/02/04,2012/04/09,2011/02/08,INF903J01AT7,Fixed Term Plan
1J,1JGP,SUNDARAM FIXED TERM PLAN AF 14 MTHS GROWTH,REGULAR,G,AF14,DEBT,DEBT_CE,SUNDARAM FTP  AF 14 MTHS,FTP  AF 14 MTHS,,2011/02/01,2011/02/04,2012/04/09,2011/02/08,INF903J01AS9,Fixed Term Plan
1L,1LDP,SUNDARAM FIXED TERM PLAN AG 14MONTHS DIVIDEND,REGULAR,D,AG14,DEBT,DEBT_CE,SUNDARAM FTP  AG 14 MTHS,FTP  AG 14 MTHS,,2011/02/14,2011/02/18,2012/04/24,2011/02/22,INF903J01AZ4,Fixed Term Plan
1L,1LGP,SUNDARAM FIXED TERM PLAN AG 14MONTHS GROWTH,REGULAR,G,AG14,DEBT,DEBT_CE,SUNDARAM FTP  AG 14 MTHS,FTP  AG 14 MTHS,,2011/02/14,2011/02/18,2012/04/24,2011/02/22,INF903J01AY7,Fixed Term Plan
1M,1MDP,SUNDARAM FIXED TERM PLAN AH 15 MONTHS DIVIDEND,REGULAR,D,AH15,DEBT,DEBT_CE,SUNDARAM FTP  AH 15 MTHS,FTP  AH 15 MTHS,,2010/12/27,2010/12/31,2012/04/03,2011/01/04,INF903J01AF6,Fixed Term Plan
1M,1MGP,SUNDARAM FIXED TERM PLAN AH 15 MONTHS GROWTH,REGULAR,G,AH15,DEBT,DEBT_CE,SUNDARAM FTP  AH 15 MTHS,FTP  AH 15 MTHS,,2010/12/27,2010/12/31,2012/04/03,2011/01/04,INF903J01AE9,Fixed Term Plan
1N,1NDP,SUNDARAM FIXED TERM PLAN AI 15 MONTHS DIVIDEND,REGULAR,D,AI15,DEBT,DEBT_CE,SUNDARAM FTP  AI 15 MTHS,FTP  AI 15 MTHS,,2011/01/10,2011/01/14,2012/04/19,2011/01/18,INF903J01AH2,Fixed Term Plan
1N,1NGP,SUNDARAM FIXED TERM PLAN AI 15 MONTHS GROWTH,REGULAR,G,AI15,DEBT,DEBT_CE,SUNDARAM FTP  AI 15 MTHS,FTP  AI 15 MTHS,,2011/01/10,2011/01/14,2012/04/19,2011/01/18,INF903J01AG4,Fixed Term Plan
AIF1CA,AIF1CA,Sundaram Alternative Opportunities Fund - Nanocap Series I - Class A,,,AIF1CA,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series I,AIF Nanocap Sr 1,,,,2100?1?1?,,,AIF
AIF1CB,AIF1CB,Sundaram Alternative Opportunities Fund - Nanocap Series I - Class B,,,AIF1CB,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series I,AIF Nanocap Sr 1,,,,2100?1?1?,,,AIF
AIF1CC,AIF1CC,Sundaram Alternative Opportunities Fund - Nanocap Series I - Class C,,,AIF1CC,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series I,AIF Nanocap Sr 1,,,,2100?1?1?,,,AIF
AIF1CD,AIF1CD,Sundaram Alternative Opportunities Fund - Nanocap Series I - Class D,,,AIF1CD,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series I,AIF Nanocap Sr 1,,,,2100?1?1?,,,AIF
AIF1CE,AIF1CE,Sundaram Alternative Opportunities Fund - Nanocap Series I - Class E,,,AIF1CE,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series I,AIF Nanocap Sr 1,,,,2100?1?1?,,,AIF
AIF1CF,AIF1CF,Sundaram Alternative Opportunities Fund - Nanocap Series I - Class F,,,AIF1CF,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series I,AIF Nanocap Sr 1,,,,2100?1?1?,,,AIF
AIF2CA,AIF2CA,Sundaram Alternative Opportunities Fund - Nanocap Series II - Class A,,,AIF2CA,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series II,AIF Nanocap Sr 2,,,,2100?1?1?,,,AIF
AIF2CB,AIF2CB,Sundaram Alternative Opportunities Fund - Nanocap Series II - Class B,,,AIF2CB,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series II,AIF Nanocap Sr 2,,,,2100?1?1?,,,AIF
AIF2CC,AIF2CC,Sundaram Alternative Opportunities Fund - Nanocap Series II - Class C,,,AIF2CC,AIF,AIF_EQUITY,Sundaram Alternative Opp Fund  - Nanocap Series II,AIF Nanocap Sr 2,,,,2100?1?1?,,,AIF
