sm_fundcode,sm_schemecode,sm_plancode,sm_optioncode,sm_schdesc,sm_plandesc,sm_optdesc,sm_funddesc,sm_fundtype,sm_opendate,sm_closedt,sm_nature,sm_navsp,sm_loaddetails,sm_NumschCode,sm_NFOStartDt,sm_NFOEndDt,sm_NFOFaceValue,sm_AllotmentDt,sm_MinPurchase,sm_MinAddPurchase,sm_MinSip,sm_refno,sm_category,sm_plnmode,sm_isin,SMF FUNDGROUP,Asset Class,Sub Class,Fund short,AMFI Product Class,NATURE
not editable,not editable,not editable,not editable,editable,editable,editable,editable,,editable,editable,editable,,,,,,,editable,editable,editable,editable,,,,,editable,,,editable,,editable
,,,,Free text,Free text,Free text,Free text,,Date calendar,Date calendar,drop down with predefined value in the column,,,,,,,date calendar,Amount free text- numeric,Amount free text- numeric,Amount free text- numeric,,,,,Alphanumeric free text,,,Free text,,drop down with predefined value in the column
176,9L,D1,D,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES III-10 YEARS,DIRECT IDCW,PAYOUT,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES III-10 YEARS - DIRECT IDCW,EQUITY,08-08-2016,11-11-2016,Close,4,"Entry load: NIL Exit load: NIL Units under Sundaram Long Term Tax Adv are eligible Deduc. u/s 80C of IT Act 1961, issued under ELSS 1992 and can be repurchased/Pledged/Transferred after 3 Yrs from date of allotment.  Units are rounded off to full Units / ",,,,,18-11-2016,500,0,0,1769LD1D,EQUITY,DIRECT,INF903JA1450,LM3,EQUITY,EQUITY_CE,TAX ADV. SR-3 YEAR10,ELSS(C),CLOSE
176,9L,DG,G,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES III-10 YEARS,DIRECT GROWTH,GROWTH,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES III-10 YEARS - DIRECT GROWTH,EQUITY,08-08-2016,11-11-2016,Close,4,"Entry load: NIL Exit load: NIL Units under Sundaram Long Term Tax Adv are eligible Deduc. u/s 80C of IT Act 1961, issued under ELSS 1992 and can be repurchased/Pledged/Transferred after 3 Yrs from date of allotment.  Units are rounded off to full Units / ",,,,,18-11-2016,500,0,0,1769LDGG,EQUITY,DIRECT,INF903JA1443,LM3,EQUITY,EQUITY_CE,TAX ADV. SR-3 YEAR10,ELSS(C),CLOSE
176,9L,DP,D,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES III-10 YEARS,REGULAR IDCW,PAYOUT,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES III-10 YEARS - REGULAR IDCW,EQUITY,08-08-2016,11-11-2016,Close,4,"Entry load: NIL Exit load: NIL Units under Sundaram Long Term Tax Adv are eligible Deduc. u/s 80C of IT Act 1961, issued under ELSS 1992 and can be repurchased/Pledged/Transferred after 3 Yrs from date of allotment.  Units are rounded off to full Units / ",,,,,18-11-2016,500,0,0,1769LDPD,EQUITY,REGULAR,INF903JA1435,LM3,EQUITY,EQUITY_CE,TAX ADV. SR-3 YEAR10,ELSS(C),CLOSE
176,9L,GP,G,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES III-10 YEARS,REGULAR GROWTH,GROWTH,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES III-10 YEARS - REGULAR GROWTH,EQUITY,08-08-2016,11-11-2016,Close,4,"Entry load: NIL Exit load: NIL Units under Sundaram Long Term Tax Adv are eligible Deduc. u/s 80C of IT Act 1961, issued under ELSS 1992 and can be repurchased/Pledged/Transferred after 3 Yrs from date of allotment.  Units are rounded off to full Units / ",,,,,18-11-2016,500,0,0,1769LGPG,EQUITY,REGULAR,INF903JA1427,LM3,EQUITY,EQUITY_CE,TAX ADV. SR-3 YEAR10,ELSS(C),CLOSE
176,9M,D1,D,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES IV - 10 YEARS,DIRECT IDCW,PAYOUT,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES IV - 10 YEARS - DIRECT IDCW,EQUITY,27-09-2016,20-03-2017,Close,4,"Entry load: NIL Exit load: NIL Units under Sundaram Long Term Tax Adv are eligible Deduc. u/s 80C of IT Act 1961, issued under ELSS 1992 and can be repurchased/Pledged/Transferred after 3 Yrs from date of allotment.  Units are rounded off to full Units / ",,,,,24-03-2017,500,0,0,1769MD1D,EQUITY,DIRECT,INF903JA1534,LM4,EQUITY,EQUITY_CE,TAX ADV. SR-4 YEAR10,ELSS(C),CLOSE
176,9M,DG,G,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES IV - 10 YEARS,DIRECT GROWTH,GROWTH,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES IV - 10 YEARS - DIRECT GROWTH,EQUITY,27-09-2016,20-03-2017,Close,4,"Entry load: NIL Exit load: NIL Units under Sundaram Long Term Tax Adv are eligible Deduc. u/s 80C of IT Act 1961, issued under ELSS 1992 and can be repurchased/Pledged/Transferred after 3 Yrs from date of allotment.  Units are rounded off to full Units / ",,,,,24-03-2017,500,0,0,1769MDGG,EQUITY,DIRECT,INF903JA1526,LM4,EQUITY,EQUITY_CE,TAX ADV. SR-4 YEAR10,ELSS(C),CLOSE
176,9M,DP,D,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES IV - 10 YEARS,REGULAR IDCW,PAYOUT,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES IV - 10 YEARS - REGULAR IDCW,EQUITY,27-09-2016,20-03-2017,Close,4,"Entry load: NIL Exit load: NIL Units under Sundaram Long Term Tax Adv are eligible Deduc. u/s 80C of IT Act 1961, issued under ELSS 1992 and can be repurchased/Pledged/Transferred after 3 Yrs from date of allotment.  Units are rounded off to full Units / ",,,,,24-03-2017,500,0,0,1769MDPD,EQUITY,REGULAR,INF903JA1518,LM4,EQUITY,EQUITY_CE,TAX ADV. SR-4 YEAR10,ELSS(C),CLOSE
176,9M,GP,G,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES IV - 10 YEARS,REGULAR GROWTH,GROWTH,SUNDARAM LONG TERM MICRO CAP TAX ADVANTAGE FUND SERIES IV - 10 YEARS - REGULAR GROWTH,EQUITY,27-09-2016,20-03-2017,Close,4,"Entry load: NIL Exit load: NIL Units under Sundaram Long Term Tax Adv are eligible Deduc. u/s 80C of IT Act 1961, issued under ELSS 1992 and can be repurchased/Pledged/Transferred after 3 Yrs from date of allotment.  Units are rounded off to full Units / ",,,,,24-03-2017,500,0,0,1769MGPG,EQUITY,REGULAR,INF903JA1500,LM4,EQUITY,EQUITY_CE,TAX ADV. SR-4 YEAR10,ELSS(C),CLOSE
