Kfintech Trxn Type,Kfintech Transaction Type definition,O_DESC,REF,TYPE,REF2,CAMS Feed Where to account this ?
DIV,Dividend Pay Out,DIVIDEND Payout,OTHERS,D,DIV,DIV
DIVR,Dividend Pay Out Reject,DIVIDEND Payout,OTHERS,D,DIV,DIV
DIRD,Dividend Reinvestment Deletion,DIVIDEND REINVEST,OTHERS,D,DIV,DIV
DIRR,Dividend Reinvestment Rejection,DIVIDEND REINVEST,OTHERS,D,DIV,DIV
DIRRD,Dividend Reinvestment Rejection Delete,DIVIDEND REINVEST,OTHERS,D,DIV,DIV
DIR,Div. Reinv. Tax Free,DIVIDEND REINVEST,OTHERS,D,DIV,DIV
DSPA,Dividend Transfer In,DIVIDEND TRANSFER,OTHERS,L,DIV,DIV
DSPN,Dividend Transfer In,DIVIDEND TRANSFER,OTHERS,L,DIV,DIV
DSPO,Dividend Transfer Out,DIVIDEND TRANSFER,OTHERS,L,DIV,DIV
ADD,Purchase,PURCHASE,INFLOW-LUMPSUM,L,ADDNL,NEWPUR
ADD,Additional Purchase,PURCHASE,INFLOW-LUMPSUM,L,ADDNL,PURCHASE
ADDD,Additional Purchase Delete,PURCHASE,INFLOW-LUMPSUM,L,ADDNL,PURCHASE
ADDR,Additional Purchase Rejection,PURCHASE,INFLOW-LUMPSUM,L,ADDNL,PURCHASE
ADDRD,Additional Purchase Rejection Delete,PURCHASE,INFLOW-LUMPSUM,L,ADDNL,PURCHASE
IPO,Initial Purchase,PURCHASE,INFLOW-LUMPSUM,L,NFO,NFO
IPOD,Initial Purchase Deletion,PURCHASE,INFLOW-LUMPSUM,L,NFO,NFO
IPOR,Initial Purchase Rejection,PURCHASE,INFLOW-LUMPSUM,L,NFO,NFO
IPORD,Initial Purchase Rejection Deletion,PURCHASE,INFLOW-LUMPSUM,L,NFO,NFO
NEW,Purchase,PURCHASE,INFLOW-LUMPSUM,L,NEW,NEWPUR
